typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20250101","2025","1","202501","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","63415112.748",,"63415112.748","4","false","true",
"C","M","20250101","2025","1","202501","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2646159.475","2646159.475","4","false","true",
"C","M","20250101","2025","1","202501","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","2052291407.83",,"2052291407.83","0","false","true",
"C","M","20250101","2025","1","202501","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"3038454324.87","3038454324.87","0","false","true",
"C","M","20250101","2025","1","202501","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5752750161.51","5409496237.74","5752750161.51","4","false","true",
"C","M","20250101","2025","1","202501","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"5914848042.18","5914848042.18","0","false","true",
"C","M","20250101","2025","1","202501","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","24312952768.426","23223715045.476","24312952768.426","0","false","true",
"C","M","20250101","2025","1","202501","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"25941233342.162","25941233342.162","0","false","true",
"C","M","20250101","2025","1","202501","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","867111896.33",,"867111896.33","4","false","true",
"C","M","20250101","2025","1","202501","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"521759756","521759756","4","false","true",
"C","M","20250101","2025","1","202501","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","190457681",,"190457681","4","false","true",
"C","M","20250101","2025","1","202501","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"39929817","39929817","4","false","true",
"C","M","20250101","2025","1","202501","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","30562000071.942",,"30562000071.942","0","false","true",
"C","M","20250101","2025","1","202501","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"30269672913.722","30269672913.722","4","false","true",
"C","M","20250101","2025","1","202501","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","141263707.393",,"141263707.393","0","false","true",
"C","M","20250101","2025","1","202501","64","BTN","Bhutan","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"43508579.343","43508579.343","4","false","true",
"C","M","20250101","2025","1","202501","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","776787143","714663653","776787143","0","false","true",
"C","M","20250101","2025","1","202501","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"625462632.49","625462632.49","0","false","true",
"C","M","20250101","2025","1","202501","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","1109497404.127",,"1109497404.127","0","false","true",
"C","M","20250101","2025","1","202501","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"651314708.922","651314708.922","4","false","true",
"C","M","20250101","2025","1","202501","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","24437498669","23065695606","24437498669","0","false","true",
"C","M","20250101","2025","1","202501","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"25398463891","25398463891","4","false","true",
"C","M","20250101","2025","1","202501","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","121283716.693",,"121283716.693","4","false","true",
"C","M","20250101","2025","1","202501","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"13021384.221","13021384.221","0","false","true",
"C","M","20250101","2025","1","202501","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","4513995103.234",,"4513995103.234","0","false","true",
"C","M","20250101","2025","1","202501","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"3492431462.582","3492431462.582","0","false","true",
"C","M","20250101","2025","1","202501","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"43628237992.661","43628237992.661","0","false","true",
"C","M","20250101","2025","1","202501","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"51095659791.681","51095659791.681","0","false","true",
"C","M","20250101","2025","1","202501","152","CHL","Chile","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7651254722.49","7091491989.31","7651254722.49","4","false","true",
"C","M","20250101","2025","1","202501","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"9839115163.336","9839115163.336","4","false","true",
"C","M","20250101","2025","1","202501","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","5378870755.63","5055645381.13","5378870755.63","0","false","true",
"C","M","20250101","2025","1","202501","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"3776705838.73","3776705838.73","4","false","true",
"C","M","20250101","2025","1","202501","191","HRV","Croatia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3570780413",,"3570780413","4","false","true",
"C","M","20250101","2025","1","202501","191","HRV","Croatia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2037519101","2037519101","4","false","true",
"C","M","20250101","2025","1","202501","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","18925217837","18360285142","18925217837","0","false","true",
"C","M","20250101","2025","1","202501","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"21336023633","21336023633","0","false","true",
"C","M","20250101","2025","1","202501","208","DNK","Denmark","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","10226441899.109",,"10226441899.109","4","false","true",
"C","M","20250101","2025","1","202501","208","DNK","Denmark","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"11135522310.814","11135522310.814","4","false","true",
"C","M","20250101","2025","1","202501","222","SLV","El Salvador","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1447310356.94",,"1447310356.94","4","false","true",
"C","M","20250101","2025","1","202501","222","SLV","El Salvador","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"545671706.19","545671706.19","4","false","true",
"C","M","20250101","2025","1","202501","233","EST","Estonia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","2009533870.16",,"2009533870.16","0","false","true",
"C","M","20250101","2025","1","202501","233","EST","Estonia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1651498628.54","1651498628.54","4","false","true",
"C","M","20250101","2025","1","202501","234","FRO","Faroe Isds","M","Import","0","W00","World","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"157614442.468","157614442.468","4","false","true",
"C","M","20250101","2025","1","202501","234","FRO","Faroe Isds","X","Export","0","W00","World","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"180611420.844","180611420.844","4","false","true",
"C","M","20250101","2025","1","202501","242","FJI","Fiji","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","277514138.614",,"277514138.614","0","false","true",
"C","M","20250101","2025","1","202501","242","FJI","Fiji","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"89016660.314","89016660.314","4","false","true",
