Exporter_ID,Industry,State,Revenue_Size_USD,lead_score
EXP_5094,Textiles,Rajasthan,38176892,52.45055187192983
EXP_5119,Chemicals,Haryana,32357990,42.707330415275926
EXP_1669,Medical Devices,Punjab,39503877,78.89936441701903
EXP_8638,Machinery,Delhi,20076306,43.3647239354893
EXP_7312,Electronics,Telangana,39854937,43.90824940326294
EXP_6848,Pharmaceuticals,Tamil Nadu,59665827,54.89768870491672
EXP_7608,Machinery,Haryana,4777555,61.3101122159051
EXP_5201,Solar,Haryana,62361192,34.37826852077222
EXP_8992,IT Software,Gujarat,49214109,57.12634603734435
EXP_2956,Machinery,Delhi,49655175,48.63647864417898
EXP_8386,Chemicals,Rajasthan,78269602,41.95967533289212
EXP_1477,Machinery,Maharashtra,63511893,55.793733928903755
EXP_2304,IT Software,Maharashtra,73795896,14.080819199524901
EXP_1966,Auto Parts,Tamil Nadu,64859994,32.4916406814192
EXP_7853,Solar,Gujarat,4771078,20.348991921870812
EXP_1307,IT Software,Gujarat,48570133,46.59060059362753
EXP_8685,Engineering,Delhi,29716543,49.10156283726755
EXP_3114,Solar,Tamil Nadu,5839651,43.6956511772256
EXP_2070,Electronics,Haryana,19073259,42.881202870431665
EXP_6045,Solar,Punjab,59524485,62.84085452501992
EXP_2886,IT Software,Rajasthan,38497331,37.98622072159017
EXP_5852,Textiles,Rajasthan,13413251,18.667281973865236
EXP_6740,Solar,Maharashtra,74918481,47.210457113465104
EXP_7346,Electronics,Telangana,12991374,30.220954413537044
EXP_4298,IT Software,Karnataka,38531663,36.54514039720935
EXP_8790,Textiles,Karnataka,15339926,45.72289644424451
EXP_1639,IT Software,Maharashtra,7713184,32.61078537656885
EXP_9602,Solar,Karnataka,42661526,39.53026892542786
EXP_4759,Machinery,Haryana,14008747,68.56093719053024
EXP_9418,Medical Devices,Delhi,1447624,27.42634141502122
EXP_7264,Engineering,Tamil Nadu,4242363,51.44435090127579
EXP_4650,Chemicals,Haryana,75152058,27.229334386551674
EXP_5667,Electronics,Punjab,7767045,25.237367715944092
EXP_8999,Auto Parts,Rajasthan,50389330,39.690443898381965
EXP_8740,Pharmaceuticals,Gujarat,57148712,40.27904494010924
EXP_9529,Pharmaceuticals,Tamil Nadu,47631836,63.78580264233313
EXP_4576,Textiles,Delhi,50575250,32.61712275852746
EXP_5521,Engineering,Delhi,66468690,51.81404006405334
EXP_9422,Medical Devices,Karnataka,6070833,49.350236446519716
