Record_ID,Date,Exporter_ID,State,Industry,MSME_Udyam,Manufacturing_Capacity_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_Terms,Prompt_Response_Score,Hiring_Signal,LinkedIn_Activity,SalesNav_ProfileViews,SalesNav_JobChange,Intent_Score,Shipment_Value_USD,Quantity_Tons,Tariff_Impact,StockMarket_Impact,War_Risk,Natural_Calamity_Risk,Currency_Shift,Converted,Impact_Score
1,2023-10-03,EXP_5094,Rajasthan,Textiles,,6459.0,38176892,631,,1,0.3,0,8266,2501,1,0.5,820868.0,4767.0,0.66,-0.15,1,0,-0.88,0,-0.88
2,2024-04-20,EXP_5119,Haryana,Chemicals,,,32357990,1788,ISO14001,0,0.42,1,8906,11052,1,0.02,868623.0700000001,1979.0,0.62,0.91,1,0,-0.69,0,-0.69
3,2023-04-10,EXP_1669,Punjab,Medical Devices,0.0,1152.0,39503877,1790,ISO9001,1,0.72,1,9133,10426,1,0.57,587936.0,4869.0,-0.78,0.65,0,1,-0.06,0,-0.06
4,2023-12-10,EXP_8638,Delhi,Machinery,1.0,,20076306,1427,ISO9001,0,0.54,1,7132,11586,1,0.64,443293.0,1802.0,0.14,-0.8,1,0,-0.71,0,-0.71
5,2021-02-27,EXP_7312,Telangana,Electronics,0.0,6561.0,39854937,1698,ISO9001,0,0.22,0,23069,8659,1,0.64,443293.0,420.0,-0.67,-0.84,0,1,0.41,1,0.41
6,2024-04-05,EXP_6848,Tamil Nadu,Pharmaceuticals,0.0,6891.0,59665827,1838,EU-GMP,0,0.8,1,18604,8588,1,0.43,443293.0,1229.0,-0.8,-0.08,0,0,-0.91,0,-0.91
7,2023-06-15,EXP_7608,Haryana,Machinery,0.0,6343.0,4777555,86,,0,0.78,0,24097,107,1,0.78,827039.0,1843.0,0.97,0.06,0,1,-0.62,1,-0.62
8,2024-11-17,EXP_5201,Haryana,Solar,,7981.0,62361192,1448,,0,0.37,0,10307,2321,0,0.5,443293.0,3407.0,0.31,0.78,0,0,0.78,0,0.78
9,2024-08-28,EXP_8992,Gujarat,IT Software,,4554.0,49214109,723,SOC2,0,0.18,1,11980,2131,1,0.56,438462.0,4743.0,-0.61,0.07,0,0,0.37,0,0.37
10,2023-01-24,EXP_2956,Delhi,Machinery,1.0,1238.0,49655175,1356,,1,0.96,1,908,13847,0,0.01,443293.0,639.0,-0.91,-0.02,0,0,-0.59,0,-0.59
11,2024-11-06,EXP_8386,Rajasthan,Chemicals,1.0,,78269602,1951,ISO14001,1,0.43,0,23761,13488,1,0.82,443293.0,2945.0,0.56,0.08,1,1,0.59,0,0.59
12,2023-03-26,EXP_1477,Maharashtra,Machinery,,127.0,63511893,1430,,1,0.2,1,3088,8921,1,0.42,856497.0,3364.0,0.21,-0.44,1,0,-0.89,0,-0.89
13,2022-09-26,EXP_2304,Maharashtra,IT Software,0.0,8176.0,73795896,128,ISO27001,0,0.35,1,19201,14041,0,0.08,443293.0,1325.0,0.94,-0.13,1,1,0.71,0,0.71
14,2021-02-03,EXP_1966,Tamil Nadu,Auto Parts,0.0,,64859994,749,ISO9001,0,0.62,0,5498,12333,1,0.07,443293.0,929.0,0.37,0.36,0,0,-0.22,0,-0.22
